atoll,year,month,sum,mean,std,median
Puka_Puka,2005,3,1686.9414389229246,28.592227778354655,0.01894524445182517,28.593092346297844
Puka_Puka,2005,4,1685.2625198028982,28.56377152208302,0.01870420802387375,28.561597244547947
Puka_Puka,2005,5,1671.821749702628,28.335961859366577,0.06193950725282502,28.31136290622609
Puka_Puka,2005,6,1647.4787565570857,27.923368755204844,0.056127635541421896,27.943937491625547
Puka_Puka,2005,7,1602.732587761645,27.16495911460415,0.07226926951367221,27.164407564593212
Puka_Puka,2005,8,1583.4958818602774,26.83891325186911,0.10142944221872327,26.814979350992612
Puka_Puka,2005,9,1592.8553157768079,26.997547725030643,0.2146675402388824,27.093203522264957
Puka_Puka,2005,10,1615.888018518154,27.387932517256846,0.03442305440578891,27.388483180531434
Puka_Puka,2005,11,1632.7877041617674,27.6743678671486,0.008960038690524634,27.677170840757235
Puka_Puka,2005,12,1663.8470015967532,28.200796637233104,0.011352045324435909,28.202804208334005
Puka_Puka,2006,1,1667.6341567885663,28.264985708280786,0.032408263611379544,28.264643428048917
Puka_Puka,2006,2,1678.7959266773291,28.45416824876829,0.028170908216906536,28.452986229211092
Puka_Puka,2006,3,1690.774214926575,28.657190083501273,0.03268606388230383,28.657913660364493
Puka_Puka,2006,4,1688.2675291954406,28.614703884668486,0.08143845291691584,28.59853336055364
Puka_Puka,2006,5,1671.7349550617591,28.33449076375863,0.05658483177666222,28.34620632444109
Puka_Puka,2006,6,1636.2341158358113,27.732781624335786,0.04337434370995514,27.735190887004137
Puka_Puka,2006,7,1599.5694750510156,27.111347034762975,0.05495240789168957,27.09236644314868
Puka_Puka,2006,8,1579.335389382605,26.76839643021364,0.05406315698256285,26.772079046283448
Puka_Puka,2006,9,1565.447043542351,26.53300073800595,0.030890735941645472,26.528489023447037
Puka_Puka,2006,10,1606.0822644803138,27.221733296276504,0.06163336417556613,27.222689198063954
Puka_Puka,2006,11,1630.2101282929734,27.630680140558873,0.02661511834453958,27.63123612425157
Puka_Puka,2006,12,1652.9343150625273,28.015835848517412,0.06860588651923133,28.0090727103608
Puka_Puka,2007,1,1679.7179693239075,28.46979609023572,0.08803838751616822,28.476738349135434
Puka_Puka,2007,2,1706.0917164055363,28.916808752636207,0.014563911446580457,28.920861137764796
Puka_Puka,2007,3,1708.8626575501903,28.963773856782886,0.03542363665870923,28.982177183032036
Puka_Puka,2007,4,1722.2895635275968,29.191348534366046,0.011190019012404528,29.19489991345576
Puka_Puka,2007,5,1695.5924423198614,28.738854954573924,0.035521767019645746,28.733041511050292
Puka_Puka,2007,6,1649.0777346215077,27.95047007833064,0.06403179431104586,27.958010884267942
Puka_Puka,2007,7,1618.5760888302966,27.43349303102198,0.02857840760809812,27.42358818597027
Puka_Puka,2007,8,1601.0987662790076,27.137267225067927,0.05258943166445316,27.136260779308422
Puka_Puka,2007,9,1581.0381652574456,26.79725703826179,0.06266632824461164,26.788611358829908
Puka_Puka,2007,10,1589.154850590974,26.934827976118203,0.041899987342671585,26.946400772247994
Puka_Puka,2007,11,1615.523889102574,27.381760832247018,0.025811828328687145,27.384611689618655
Puka_Puka,2007,12,1649.6588244805378,27.960319058992166,0.03296647412041457,27.960888343730144
Puka_Puka,2008,1,1648.5062711723149,27.94078425715788,0.033037259397816966,27.94733812553542
Puka_Puka,2008,2,1651.7768962319408,27.996218580202385,0.03942001647229964,28.008968075471266
Puka_Puka,2008,3,1648.332681890577,27.937842065941986,0.030357300523854325,27.93310778055872
Puka_Puka,2008,4,1643.957426302135,27.86368519156161,0.030217451500692414,27.863682531352556
Puka_Puka,2008,5,1638.1864982396364,27.765872851519262,0.029968709560970613,27.75732116614069
Puka_Puka,2008,6,1611.3995479792356,27.311856745410775,0.02349780965001386,27.31267520306366
Puka_Puka,2008,7,1565.5626127778419,26.534959538607488,0.030364185879230458,26.53168038757784
Puka_Puka,2008,8,1545.607849947044,26.196743219441426,0.01553788098909227,26.19799972485219
Puka_Puka,2008,9,1548.972594089806,26.253772781183155,0.03621279481815803,26.25947272245373
Puka_Puka,2008,10,1567.3859280454262,26.565863187210613,0.04441016376859132,26.568773455917835
Puka_Puka,2008,11,1595.0453763322107,27.0346673954612,0.036375593425443484,27.030004048986093
Puka_Puka,2008,12,1633.4244597820298,27.68516033528864,0.007886725137613427,27.686012488922902
Puka_Puka,2009,1,1667.2555877582304,28.258569284037804,0.023756658047533314,28.26689307817391
Puka_Puka,2009,2,1689.1878976837866,28.630303350572653,0.019238181979933332,28.6268894156175
Puka_Puka,2009,3,1682.2097969007277,28.512030455944537,0.022669955007703628,28.508756625333003
Puka_Puka,2009,4,1671.6865614253495,28.333670532633043,0.09030468282285045,28.34359045220273
Puka_Puka,2009,5,1665.1275233748768,28.22250039618435,0.07072377975646667,28.246907814272813
Puka_Puka,2009,6,1635.8156809125628,27.72568950699259,0.028392463166774445,27.727134000509977
Puka_Puka,2009,7,1588.588828156037,26.92523437552605,0.023848576776189553,26.922805604657956
Puka_Puka,2009,8,1567.3386330753565,26.565061577548416,0.036248350616857584,26.564535742891685
Puka_Puka,2009,9,1569.3010604285769,26.598323058111472,0.04268577229772307,26.59095605249916
Puka_Puka,2009,10,1570.602613819497,26.620383285076223,0.07822825514564936,26.604453953249113
Puka_Puka,2009,11,1664.5677267158671,28.213012317218087,0.0192070189614416,28.21248293561595
Puka_Puka,2009,12,1700.4327999922846,28.820894915123468,0.045540430714599844,28.81476135977677
Puka_Puka,2010,1,1708.7892561751817,28.962529765681044,0.024987972746964807,28.963185950581515
Puka_Puka,2010,2,1690.3195763315473,28.649484344602495,0.04730876650358171,28.64509588639651
Puka_Puka,2010,3,1706.482998574951,28.923440653812726,0.05648743633984363,28.90615993578519
Puka_Puka,2010,4,1706.7704306165022,28.928312383330546,0.02640397404035814,28.928708754479885
Puka_Puka,2010,5,1677.8371048670795,28.437917031645416,0.012000888707805007,28.440691629690782
Puka_Puka,2010,6,1639.2501642091997,27.783901088291522,0.031141081306265177,27.782956714076654
Puka_Puka,2010,7,1579.8166575570192,26.77655351791558,0.07988859348031553,26.75256463938526
Puka_Puka,2010,8,1533.5037905605775,25.991589670518263,0.034778078790301474,25.990456421460426
Puka_Puka,2010,9,1513.4392657306576,25.651512978485723,0.07640900620718634,25.63187265502555
Puka_Puka,2010,10,1543.5194945042686,26.161347364479127,0.07625170463858627,26.174770779375518
Puka_Puka,2010,11,1583.0983215974911,26.832174942330358,0.027448120201269688,26.836534138236726
Puka_Puka,2010,12,1588.1956102411664,26.918569665104513,0.030707095790540317,26.919352653303317
Puka_Puka,2011,1,1584.0458951571159,26.848235511137556,0.023847326729909437,26.850241308765753
Puka_Puka,2011,2,1580.5638029857405,26.789216999758313,0.02162302079725472,26.787669644824096
Puka_Puka,2011,3,1588.89493752537,26.930422669921526,0.02657133362026266,26.933792268059083
Puka_Puka,2011,4,1582.6366201474198,26.824349494024062,0.013755408364639057,26.828686521521636
Puka_Puka,2011,5,1582.9136933349073,26.82904564974419,0.029090517435125876,26.826960045844316
Puka_Puka,2011,6,1540.6549051334814,26.1127950022624,0.02270214618836534,26.11669841568385
Puka_Puka,2011,7,1515.2908324184164,25.68289546471892,0.034582805036833315,25.68110337055155
Puka_Puka,2011,8,1499.6852710885662,25.418394425229934,0.0360897767235213,25.412348656782083
Puka_Puka,2011,9,1515.1253523406174,25.680090717637583,0.03189482206698919,25.69188076417361
Puka_Puka,2011,10,1526.824683974364,25.878384474141765,0.056953408984427314,25.866411759917224
Puka_Puka,2011,11,1559.8510126977094,26.438152757588295,0.040382856574496494,26.449960538851364
Puka_Puka,2011,12,1582.7894394035852,26.826939650908223,0.047032949355906545,26.828477251742566
Puka_Puka,2012,1,1628.3495106872701,27.59914424893678,0.03850851645809162,27.593724516353436
Puka_Puka,2012,2,1668.9808601343207,28.2878111887173,0.018966782979245835,28.288866404976165
Puka_Puka,2012,3,1705.8617812357843,28.912911546369227,0.018688434574927703,28.907258602125303
Puka_Puka,2012,4,1711.8603425004653,29.014582076279073,0.03162033922766521,29.02941983565688
Puka_Puka,2012,5,1690.5273289047182,28.65300557465624,0.028119791944820283,28.643683315387793
Puka_Puka,2012,6,1643.3795278072357,27.853890301817554,0.025052751256518957,27.85070780505027
